Geneid,wt_CON,wt_DOX
ENSMUSG00000002870,619,748
ENSMUSG00000002871,3750,3628
ENSMUSG00000002881,5278,4179
ENSMUSG00000002885,1773,2809
ENSMUSG00000002897,3086,2941
ENSMUSG00000002900,24,488
ENSMUSG00000002908,94,12
ENSMUSG00000002910,708,558
ENSMUSG00000002930,0,0
ENSMUSG00000002944,26469,80069
ENSMUSG00000002948,1383,925
ENSMUSG00000002949,2280,1503
ENSMUSG00000002957,6814,4225
ENSMUSG00000002963,2205,1667
ENSMUSG00000002968,1873,1582
ENSMUSG00000002980,147,22
ENSMUSG00000002981,9513,8186
ENSMUSG00000002983,826,607
ENSMUSG00000002984,935,1055
ENSMUSG00000002985,333063,218068
ENSMUSG00000002992,4,1
ENSMUSG00000002996,10761,8276
ENSMUSG00000002997,1520,1580
ENSMUSG00000003031,3799,1716
ENSMUSG00000003032,418,770
ENSMUSG00000003033,3641,2049
ENSMUSG00000003037,13050,5692
ENSMUSG00000003038,2212,2341
ENSMUSG00000003039,6317,4605
ENSMUSG00000003051,0,0
ENSMUSG00000003062,1382,2141
ENSMUSG00000003068,4425,3390
ENSMUSG00000003070,37,16
ENSMUSG00000003072,5167,3004
ENSMUSG00000003099,2486,1661
ENSMUSG00000003119,2435,2055
ENSMUSG00000003123,1017,374
ENSMUSG00000003131,5200,4712
ENSMUSG00000003134,1981,1396
ENSMUSG00000003135,1178,1221
ENSMUSG00000003153,509,964
ENSMUSG00000003154,2652,1890
ENSMUSG00000003161,5569,3288
ENSMUSG00000003166,1250,1261
ENSMUSG00000003184,1945,1303
ENSMUSG00000003190,294,118
ENSMUSG00000003198,279,392
ENSMUSG00000003199,2088,1101
ENSMUSG00000003200,2926,2845
ENSMUSG00000003206,1776,776
ENSMUSG00000003208,399,332
ENSMUSG00000003226,11606,10032
ENSMUSG00000003227,0,2
ENSMUSG00000003228,1032,463
ENSMUSG00000003233,1636,1408
ENSMUSG00000003234,2610,2396
ENSMUSG00000003235,2599,1696
ENSMUSG00000003269,1610,1236
ENSMUSG00000003271,18,24
ENSMUSG00000003273,63,58
ENSMUSG00000003279,0,4
ENSMUSG00000003282,238,113
ENSMUSG00000003283,6482,1619
ENSMUSG00000003299,1206,1099
ENSMUSG00000003308,1966,1067
ENSMUSG00000003309,0,2
ENSMUSG00000003316,12102,12880
ENSMUSG00000003341,12,11
ENSMUSG00000003344,1117,772
ENSMUSG00000003345,3465,2954
ENSMUSG00000003346,1078,1197
ENSMUSG00000003348,3867,1851
ENSMUSG00000003352,24,55
ENSMUSG00000003354,4,2
ENSMUSG00000003355,20,26
ENSMUSG00000003360,5691,3831
ENSMUSG00000003363,50842,28343
ENSMUSG00000003378,64,24
ENSMUSG00000003379,10,12
ENSMUSG00000003380,3337,4926
ENSMUSG00000003382,6132,5976
ENSMUSG00000003402,5916,3985
ENSMUSG00000003410,2,0
ENSMUSG00000003411,2,3
ENSMUSG00000003418,8,8
ENSMUSG00000003420,1485,1607
ENSMUSG00000003421,1323,1415
ENSMUSG00000003423,788,813
ENSMUSG00000003429,1074,3381
ENSMUSG00000003435,8057,6811
ENSMUSG00000003436,0,0
ENSMUSG00000003437,3270,2389
ENSMUSG00000003438,911,967
ENSMUSG00000003444,381,300
ENSMUSG00000003452,78,39
ENSMUSG00000003458,7042,6577
ENSMUSG00000003464,3042,2414
ENSMUSG00000003469,0,2
ENSMUSG00000003476,0,0
ENSMUSG00000003477,4,0
ENSMUSG00000003484,627,248
ENSMUSG00000003500,1994,1372
ENSMUSG00000003505,0,0
ENSMUSG00000003518,11441,9174
ENSMUSG00000003526,235,117
ENSMUSG00000003527,958,798
ENSMUSG00000003528,3737,2161
ENSMUSG00000003531,651,646
ENSMUSG00000003534,4,138
ENSMUSG00000003541,400,848
ENSMUSG00000003545,8,278
ENSMUSG00000003546,5089,2900
ENSMUSG00000003549,959,512
ENSMUSG00000003555,0,0
ENSMUSG00000003559,761,617
ENSMUSG00000003573,1020,1391
ENSMUSG00000003575,921,722
ENSMUSG00000003581,520,411
ENSMUSG00000003585,12,52
ENSMUSG00000003604,227,215
ENSMUSG00000003617,1622,790
ENSMUSG00000003623,2237,2437
ENSMUSG00000003644,6456,2765
ENSMUSG00000003657,2,0
ENSMUSG00000003660,12333,7648
ENSMUSG00000003662,1897,1970
ENSMUSG00000003665,15,7
ENSMUSG00000003680,593,560
ENSMUSG00000003721,1509,1540
ENSMUSG00000003731,5414,4530
ENSMUSG00000003746,4078,4363
ENSMUSG00000003752,249,323
ENSMUSG00000003762,680,449
ENSMUSG00000003778,3496,2237
ENSMUSG00000003779,132,284
ENSMUSG00000003808,2118,1467
ENSMUSG00000003809,909,579
ENSMUSG00000003810,2075,2164
ENSMUSG00000003812,11553,5025
ENSMUSG00000003813,2187,872
ENSMUSG00000003814,143678,27914
ENSMUSG00000003824,162,145
ENSMUSG00000003847,6197,5447
ENSMUSG00000003848,717,591
ENSMUSG00000003849,344,1352
ENSMUSG00000003863,74,43
ENSMUSG00000003865,1132,562
ENSMUSG00000003868,1122,791
ENSMUSG00000003872,2,4
ENSMUSG00000003873,1583,2386
ENSMUSG00000003882,18682,14094
ENSMUSG00000003923,880,847
ENSMUSG00000003929,773,407
ENSMUSG00000003934,10,14
ENSMUSG00000003948,1376,1882
ENSMUSG00000003949,0,10
ENSMUSG00000003955,544,434
ENSMUSG00000003970,13582,16759
ENSMUSG00000003974,0,0
ENSMUSG00000003992,119,79
ENSMUSG00000004018,201,139
ENSMUSG00000004031,0,0
ENSMUSG00000004032,312,167
ENSMUSG00000004035,6,8
ENSMUSG00000004038,12,14
ENSMUSG00000004040,8401,5504
ENSMUSG00000004043,1218,679
ENSMUSG00000004044,118,419
ENSMUSG00000004054,2830,1934
ENSMUSG00000004056,4281,3676
ENSMUSG00000004069,2382,2086
ENSMUSG00000004070,7464,3680
ENSMUSG00000004071,1491,1846
ENSMUSG00000004085,1077,1632
ENSMUSG00000004096,6192,2970
ENSMUSG00000004098,18,198
ENSMUSG00000004099,8417,5976
ENSMUSG00000004100,473,509
ENSMUSG00000004105,1992,2606
ENSMUSG00000004110,0,4
ENSMUSG00000004113,96,57
ENSMUSG00000004127,207,283
ENSMUSG00000004151,170,506
ENSMUSG00000004187,258,117
ENSMUSG00000004207,663265,634426
ENSMUSG00000004221,4497,3986
ENSMUSG00000004233,546,321
ENSMUSG00000004263,141,186
ENSMUSG00000004264,2528,2285
ENSMUSG00000004266,15626,6026
ENSMUSG00000004267,319,277
ENSMUSG00000004268,1757,1135
ENSMUSG00000004270,2819,1558
ENSMUSG00000004285,4882,3431
ENSMUSG00000004296,6,2
ENSMUSG00000004317,2329,1619
ENSMUSG00000004319,3096,2571
ENSMUSG00000004328,2,0
ENSMUSG00000004341,0,0
ENSMUSG00000004344,0,0
ENSMUSG00000004347,14,46
ENSMUSG00000004356,2438,2968
ENSMUSG00000004359,225,53
ENSMUSG00000004360,2,0
ENSMUSG00000004364,7046,5093
ENSMUSG00000004371,0,18
ENSMUSG00000004383,2342,1349
ENSMUSG00000004393,1469,1290
ENSMUSG00000004394,3457,2507
ENSMUSG00000004415,0,0
ENSMUSG00000004446,1478,1596
ENSMUSG00000004451,4498,3167
ENSMUSG00000004455,8959,5859
ENSMUSG00000004460,6592,3935
ENSMUSG00000004462,1194,585
ENSMUSG00000004473,18,16
ENSMUSG00000004500,598,360
ENSMUSG00000004508,7603,4414
ENSMUSG00000004530,19303,10373
ENSMUSG00000004535,14005,12560
ENSMUSG00000004540,0,2
ENSMUSG00000004542,0,0
ENSMUSG00000004552,177,256
ENSMUSG00000004558,102,42
ENSMUSG00000004561,763,432
ENSMUSG00000004562,118,143
ENSMUSG00000004565,2117,1754
ENSMUSG00000004567,3344,2249
ENSMUSG00000004568,641,236
ENSMUSG00000004591,2999,2256
ENSMUSG00000004609,1493,1390
ENSMUSG00000004610,23,51
ENSMUSG00000004612,0,6
ENSMUSG00000004626,10221,8882
ENSMUSG00000004630,10,7
ENSMUSG00000004631,6,80
ENSMUSG00000004633,150,107
ENSMUSG00000004637,682,144
ENSMUSG00000004642,1192,1309
ENSMUSG00000004651,0,0
ENSMUSG00000004654,0,0
ENSMUSG00000004655,10,22
ENSMUSG00000004661,689,624
ENSMUSG00000004665,1696,2113
ENSMUSG00000004667,2483,1464
ENSMUSG00000004668,24,17
ENSMUSG00000004677,20828,12255
ENSMUSG00000004698,338,348
ENSMUSG00000004707,50789,21140
ENSMUSG00000004709,160,61
ENSMUSG00000004730,157970,82004
ENSMUSG00000004748,74,88
ENSMUSG00000004768,440,355
ENSMUSG00000004771,4736,3693
ENSMUSG00000004788,2181,1471
ENSMUSG00000004789,5729,3980
ENSMUSG00000004791,18,50
ENSMUSG00000004798,3862,3721
ENSMUSG00000004814,14,4
ENSMUSG00000004815,756,720
ENSMUSG00000004821,0,0
ENSMUSG00000004837,314,291
ENSMUSG00000004843,2802,2274
ENSMUSG00000004846,5757,3975
ENSMUSG00000004849,5147,5541
ENSMUSG00000004864,2,0
ENSMUSG00000004865,2311,1908
ENSMUSG00000004872,0,0
ENSMUSG00000004880,559,593
ENSMUSG00000004885,0,2
ENSMUSG00000004891,22,476
ENSMUSG00000004892,0,0
ENSMUSG00000004894,0,0
ENSMUSG00000004895,1592,1345
ENSMUSG00000004896,713,601
ENSMUSG00000004897,10977,7142
ENSMUSG00000004902,50,28
ENSMUSG00000004929,1154,499
ENSMUSG00000004931,1047,899
ENSMUSG00000004933,535,129
ENSMUSG00000004934,1161,1208
ENSMUSG00000004936,3916,3635
ENSMUSG00000004937,5063,3142
ENSMUSG00000004939,0,0
ENSMUSG00000004945,1925,1959
ENSMUSG00000004947,513,560
ENSMUSG00000004948,0,0
ENSMUSG00000004951,14,210
ENSMUSG00000004952,11474,4503
ENSMUSG00000004961,5,2
ENSMUSG00000004980,23721,14557
ENSMUSG00000004988,11,4
ENSMUSG00000004994,774,479
ENSMUSG00000004996,372,785
ENSMUSG00000005034,9715,6238
ENSMUSG00000005043,4513,3488
ENSMUSG00000005045,21,8
ENSMUSG00000005054,38639,18742
ENSMUSG00000005057,883,1155
ENSMUSG00000005069,1477,1793
ENSMUSG00000005078,1388,1209
ENSMUSG00000005087,11819,20876
ENSMUSG00000005089,12,15
ENSMUSG00000005102,1972,1459
ENSMUSG00000005103,21985,14849
ENSMUSG00000005107,1470,1019
ENSMUSG00000005124,16,665
ENSMUSG00000005125,1522,3181
ENSMUSG00000005131,18,33
ENSMUSG00000005142,31961,40633
ENSMUSG00000005148,2,6
ENSMUSG00000005150,583,530
ENSMUSG00000005161,6402,4169
ENSMUSG00000005198,7757,15960
ENSMUSG00000005202,0,0
ENSMUSG00000005204,3773,3649
ENSMUSG00000005220,10,6
ENSMUSG00000005225,674,787
ENSMUSG00000005232,0,0
ENSMUSG00000005233,222,326
ENSMUSG00000005237,70,16
ENSMUSG00000005251,0,0
ENSMUSG00000005262,2335,1675
ENSMUSG00000005267,640,345
ENSMUSG00000005268,2,2
ENSMUSG00000005299,2874,2410
ENSMUSG00000005312,7693,5484
ENSMUSG00000005320,2,8
ENSMUSG00000005338,2,0
ENSMUSG00000005339,0,2
ENSMUSG00000005354,3424,1831
ENSMUSG00000005355,0,0
ENSMUSG00000005357,0,2
ENSMUSG00000005360,23,8
ENSMUSG00000005362,2169,2049
ENSMUSG00000005364,0,4
ENSMUSG00000005370,1359,1880
